Distance_(microns)	Gray_Value
1.31710	274.043
1.32075	332.488
1.32440	138.970
1.32804	249.366
1.33169	311.707
1.33534	20.780
1.33899	106.500
1.34264	0
1.34629	0
1.34993	155.854
1.35358	368.970
1.35723	790.561
1.36088	122.104
1.36453	176.634
1.36818	130.030
1.37183	0
1.37547	106.500
1.37912	150.659
1.38277	196.116
1.38642	0
1.39007	94.811
1.39372	374.049
1.39736	492.549
1.40101	213.000
1.40466	250.665
1.40831	566.488
1.41196	496.591
1.41561	202.610
1.41926	300.427
1.42290	145.463
1.42655	261.055
1.43020	691.366
1.43385	473.256
1.43750	546.341
1.44115	5.201
1.44479	187.024
1.44844	106.500
1.45209	129.878
1.45574	324.957
1.45939	285.732
1.46304	426.104
1.46669	593.171
1.47033	26.006
1.47398	0
1.47763	320.799
1.48128	311.707
1.48493	213.000
1.48858	114.293
1.49222	227.287
1.49587	426.000
1.49952	319.500
1.50317	213.000
1.50682	213.000
1.51047	114.293
1.51412	141.567
1.51776	342.878
1.52141	106.500
1.52506	15.585
1.52871	275.341
1.53236	285.732
1.53601	213.000
1.53965	0
1.54330	106.500
1.54695	213.000
1.55060	211.701
1.55425	31.171
1.55790	213.000
1.56155	249.366
1.56519	116.890
1.56884	67.537
1.57249	367.963
1.57614	0
1.57979	0
1.58344	0
1.58709	106.500
1.59073	103.902
1.59438	120.787
1.59803	161.049
1.60168	284.878
1.60533	15.610
1.60898	106.500
1.61262	213.000
1.61627	151.957
1.61992	213.000
1.62357	138.970
1.62722	0
1.63087	102.604
1.63452	20.780
1.63816	0
1.64181	0
1.64546	53.250
1.64911	290.927
1.65276	245.470
1.65641	0
1.66005	0
1.66370	0
1.66735	106.500
1.67100	93.512
1.67465	0
1.67830	0
1.68195	33.768
1.68559	415.610
1.68924	35.067
1.69289	161.049
1.69654	319.500
1.70019	322.098
1.70384	106.500
1.70748	166.244
1.71113	9.091
1.71478	202.610
1.71843	19.482
1.72208	0
1.72573	48.055
1.72938	0
1.73302	29.872
1.73667	213.000
1.74032	105.201
1.74397	0
1.74762	0
1.75127	0
1.75491	0
1.75856	0
1.76221	106.500
1.76586	197.415
1.76951	6.494
1.77316	0
1.77681	35.067
1.78045	0
1.78410	106.500
1.78775	57.146
1.79140	92.213
1.79505	0
1.79870	106.500
1.80234	57.146
1.80599	0
1.80964	98.707
1.81329	177.933
1.81694	41.561
1.82059	100.006
1.82424	0
1.82788	0
1.83153	280.537
1.83518	101.305
1.83883	249.756
1.84248	317.274
1.84613	25.976
1.84977	527.799
1.85342	124.829
1.85707	229.884
1.86072	337.683
1.86437	329.890
1.86802	145.463
1.87167	38.963
1.87531	436.439
1.87896	329.049
1.88261	0
1.88626	106.500
1.88991	431.707
1.89356	279.549
1.89721	322.098
1.90085	213.000
1.90450	218.195
1.90815	213.000
1.91180	363.659
1.91545	319.500
1.91910	613.463
1.92274	328.939
1.92639	176.634
1.93004	220.793
1.93369	426.000
1.93734	344.177
1.94099	561.707
1.94464	213.250
1.94828	0
1.95193	213.000
1.95558	0
1.95923	513.500
1.96288	358.634
1.96653	138.970
1.97017	119.488
1.97382	213.000
1.97747	426.000
1.98112	555.000
1.98477	0
1.98842	11.689
1.99207	322.098
1.99571	187.024
1.99936	213.000
2.00301	219.671
2.00666	712.512
2.01031	399.183
2.01396	233.829
2.01760	145.463
2.02125	358.463
2.02490	484.720
2.02855	587.634
2.03220	196.116
2.03585	488.488
2.03950	634.299
2.04314	426.000
2.04679	215.726
2.05044	83.122
2.05409	370.415
2.05774	353.268
2.06139	275.341
2.06503	213.000
2.06868	419.976
2.07233	124.878
2.07598	142.866
2.07963	0
2.08328	235.079
2.08693	483.415
2.09057	703.506
2.09422	426.000
2.09787	717.427
2.10152	441.854
2.10517	319.799
2.10882	540.829
2.11246	566.598
2.11611	1155.122
2.11976	526.476
2.12341	426.000
2.12706	448.579
2.13071	358.805
2.13436	375.610
2.13800	379.634
2.14165	426.500
2.14530	691.951
2.14895	742.104
2.15260	972.341
2.15625	609.988
2.15989	640.000
2.16354	698.445
2.16719	1144.610
2.17084	737.091
2.17449	1086.829
2.17814	1057.366
2.18179	140.488
2.18543	488.988
2.18908	749.098
2.19273	694.238
2.19638	426.000
2.20003	331.244
2.20368	629.585
2.20733	533.000
2.21097	363.659
2.21462	592.671
2.21827	613.463
2.22192	861.939
2.22557	889.366
2.22922	749.915
2.23286	619.122
2.23651	74.146
2.24016	0
2.24381	533.000
2.24746	426.000
2.25111	607.146
2.25476	640.000
2.25840	544.707
2.26205	72.732
2.26570	213.000
2.26935	238.976
2.27300	303.915
2.27665	426.000
2.28029	746.079
2.28394	213.000
2.28759	213.000
2.29124	374.049
2.29489	267.738
2.29854	421.293
2.30219	419.829
2.30583	213.000
2.30948	203.909
2.31313	213.000
2.31678	542.409
2.32043	640.000
2.32408	368.055
2.32772	728.317
2.33137	336.744
2.33502	213.000
2.33867	320.805
2.34232	238.976
2.34597	319.500
2.34962	296.122
2.35326	218.195
2.35691	285.732
2.36056	448.183
2.36421	31.171
2.36786	332.518
2.37151	556.683
2.37515	569.701
2.37880	410.878
2.38245	384.841
2.38610	640.000
2.38975	412.146
2.39340	426.000
2.39705	42.860
2.40069	155.854
2.40434	255.860
2.40799	327.293
2.41164	248.067
2.41529	384.439
2.41894	513.488
2.42259	259.829
2.42623	279.341
2.42988	285.732
2.43353	202.848
2.43718	332.878
2.44083	317.274
2.44448	0
2.44812	2.598
2.45177	181.829
2.45542	29.872
2.45907	249.366
2.46272	164.945
2.46637	0
2.47002	145.463
2.47366	415.610
2.47731	133.774
2.48096	0
2.48461	326.171
2.48826	109.098
2.49191	172.738
2.49555	264.951
2.49920	213.000
2.50285	207.805
2.50650	213.000
2.51015	0
2.51380	0
2.51745	187.024
2.52109	148.061
2.52474	0
2.52839	7.793
2.53204	192.220
2.53569	49.354
2.53934	0
2.54298	53.250
2.54663	77.927
2.55028	81.823
2.55393	0
