ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:33:38"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   1543038
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      91.82264
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  92.145"	" 2,  92.016"	" 3,  92.005"	" 4,  91.892"	" 5,  92.050"	" 6,  91.791"	" 7,  92.348"	" 8,  92.003"	" 9,  91.871"	"10,  91.823"	
  2.50000E-005	  1.21102E+002	  1.20884E+002	  1.20891E+002	  1.20948E+002	  1.21177E+002	  1.20946E+002	  1.21303E+002	  1.20856E+002	  1.21198E+002	  1.21409E+002	  1.21406E+002	
  5.00000E-005	  1.10664E+002	  1.10512E+002	  1.10485E+002	  1.10614E+002	  1.10664E+002	  1.10496E+002	  1.10848E+002	  1.10442E+002	  1.10757E+002	  1.10813E+002	  1.11012E+002	
  7.50000E-005	  8.32495E+001	  8.30060E+001	  8.31069E+001	  8.31341E+001	  8.32258E+001	  8.32370E+001	  8.32445E+001	  8.31829E+001	  8.34310E+001	  8.34165E+001	  8.35103E+001	
  1.00000E-004	  2.43787E+001	  2.42305E+001	  2.42920E+001	  2.42333E+001	  2.42463E+001	  2.43854E+001	  2.43488E+001	  2.45134E+001	  2.45438E+001	  2.43708E+001	  2.46227E+001	
  1.25000E-004	  7.88198E+000	  7.82019E+000	  7.86137E+000	  7.84830E+000	  7.83944E+000	  7.88796E+000	  7.80595E+000	  7.91390E+000	  7.97504E+000	  7.87967E+000	  7.98799E+000	
  1.50000E-004	  2.61727E+000	  2.61168E+000	  2.62373E+000	  2.61921E+000	  2.63732E+000	  2.65895E+000	  2.55565E+000	  2.62520E+000	  2.65738E+000	  2.58490E+000	  2.59872E+000	
  1.75000E-004	  1.96633E+000	  1.93776E+000	  1.99438E+000	  1.96608E+000	  1.98743E+000	  1.95279E+000	  1.93321E+000	  1.99505E+000	  1.95941E+000	  1.93935E+000	  1.99785E+000	
  2.00000E-004	  1.72127E+000	  1.74768E+000	  1.72232E+000	  1.72485E+000	  1.73873E+000	  1.71871E+000	  1.68926E+000	  1.73436E+000	  1.73280E+000	  1.68934E+000	  1.71464E+000	
  2.25000E-004	  1.47593E+000	  1.45093E+000	  1.47279E+000	  1.46328E+000	  1.49335E+000	  1.49204E+000	  1.48141E+000	  1.48842E+000	  1.50142E+000	  1.45119E+000	  1.46445E+000	
  2.50000E-004	  1.34266E+000	  1.35762E+000	  1.32329E+000	  1.34258E+000	  1.33088E+000	  1.35398E+000	  1.37218E+000	  1.34120E+000	  1.33787E+000	  1.31956E+000	  1.34745E+000	
