ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:39:11"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301399
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     122.35995
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 122.820"	" 2, 123.109"	" 3, 121.199"	" 4, 122.973"	" 5, 121.738"	" 6, 122.732"	" 7, 122.431"	" 8, 122.521"	" 9, 122.951"	"10, 122.360"	
  2.50000E-005	  8.94030E+001	  8.90500E+001	  8.89634E+001	  9.02258E+001	  8.90315E+001	  8.99836E+001	  8.92804E+001	  8.94828E+001	  8.94002E+001	  8.91297E+001	  8.94827E+001	
  5.00000E-005	  8.15074E+001	  8.10360E+001	  8.09375E+001	  8.23135E+001	  8.11417E+001	  8.20317E+001	  8.14337E+001	  8.15563E+001	  8.15137E+001	  8.13241E+001	  8.17856E+001	
  7.50000E-005	  6.10815E+001	  6.06913E+001	  6.07704E+001	  6.16424E+001	  6.07735E+001	  6.15505E+001	  6.09658E+001	  6.10852E+001	  6.11242E+001	  6.09946E+001	  6.12171E+001	
  1.00000E-004	  1.75477E+001	  1.74186E+001	  1.75156E+001	  1.77333E+001	  1.75006E+001	  1.76926E+001	  1.75390E+001	  1.75564E+001	  1.75541E+001	  1.74063E+001	  1.75600E+001	
  1.25000E-004	  5.77624E+000	  5.79279E+000	  5.80830E+000	  5.85214E+000	  5.73724E+000	  5.82199E+000	  5.75571E+000	  5.71124E+000	  5.78010E+000	  5.74605E+000	  5.75682E+000	
  1.50000E-004	  2.24112E+000	  2.25116E+000	  2.27672E+000	  2.29147E+000	  2.24518E+000	  2.26051E+000	  2.23883E+000	  2.20208E+000	  2.22581E+000	  2.19506E+000	  2.22442E+000	
  1.75000E-004	  1.65212E+000	  1.67996E+000	  1.68814E+000	  1.68283E+000	  1.64136E+000	  1.67813E+000	  1.64972E+000	  1.63142E+000	  1.63715E+000	  1.61291E+000	  1.61961E+000	
  2.00000E-004	  1.47412E+000	  1.50356E+000	  1.48528E+000	  1.49308E+000	  1.48392E+000	  1.49705E+000	  1.46280E+000	  1.45364E+000	  1.46780E+000	  1.44050E+000	  1.45355E+000	
  2.25000E-004	  1.19104E+000	  1.20576E+000	  1.21361E+000	  1.21016E+000	  1.21843E+000	  1.19853E+000	  1.18564E+000	  1.15394E+000	  1.16952E+000	  1.16495E+000	  1.18985E+000	
  2.50000E-004	  1.08361E+000	  1.11371E+000	  1.10123E+000	  1.11241E+000	  1.08992E+000	  1.09821E+000	  1.07097E+000	  1.05001E+000	  1.07303E+000	  1.05590E+000	  1.07074E+000	
  2.75000E-004	  1.05935E+000	  1.08162E+000	  1.09498E+000	  1.08873E+000	  1.06108E+000	  1.07738E+000	  1.02714E+000	  1.03390E+000	  1.06094E+000	  1.02052E+000	  1.04722E+000	
  3.00000E-004	  1.09076E+000	  1.11186E+000	  1.12402E+000	  1.12649E+000	  1.11841E+000	  1.10976E+000	  1.06858E+000	  1.04315E+000	  1.05854E+000	  1.05599E+000	  1.09079E+000	
  3.25000E-004	  1.15514E+000	  1.21557E+000	  1.19090E+000	  1.20010E+000	  1.16190E+000	  1.16998E+000	  1.13278E+000	  1.13409E+000	  1.11808E+000	  1.10601E+000	  1.12197E+000	
