ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"11:14:18"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2795564
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     197.95158
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 198.746"	" 2, 198.550"	" 3, 198.933"	" 4, 198.550"	" 5, 197.813"	" 6, 197.621"	" 7, 197.648"	" 8, 197.290"	" 9, 197.837"	"10, 197.952"	
  2.50000E-005	  5.64557E+001	  5.61864E+001	  5.62249E+001	  5.61334E+001	  5.63290E+001	  5.65505E+001	  5.65774E+001	  5.66979E+001	  5.67303E+001	  5.65807E+001	  5.65463E+001	
  5.00000E-005	  5.17791E+001	  5.15178E+001	  5.15934E+001	  5.15373E+001	  5.16505E+001	  5.18556E+001	  5.18943E+001	  5.19875E+001	  5.20430E+001	  5.18861E+001	  5.18258E+001	
  7.50000E-005	  3.96236E+001	  3.93997E+001	  3.94805E+001	  3.94275E+001	  3.95359E+001	  3.96867E+001	  3.96993E+001	  3.98049E+001	  3.98243E+001	  3.97127E+001	  3.96647E+001	
  1.00000E-004	  1.15267E+001	  1.14407E+001	  1.14751E+001	  1.14648E+001	  1.14958E+001	  1.15403E+001	  1.15606E+001	  1.16071E+001	  1.15822E+001	  1.15654E+001	  1.15352E+001	
  1.25000E-004	  3.77158E+000	  3.73579E+000	  3.76693E+000	  3.75291E+000	  3.76370E+000	  3.75477E+000	  3.76984E+000	  3.81183E+000	  3.78319E+000	  3.79433E+000	  3.78251E+000	
  1.50000E-004	  1.24780E+000	  1.24978E+000	  1.26377E+000	  1.23058E+000	  1.25484E+000	  1.24755E+000	  1.24510E+000	  1.25287E+000	  1.24633E+000	  1.24387E+000	  1.24337E+000	
  1.75000E-004	  9.31873E-001	  9.31589E-001	  9.41317E-001	  9.28612E-001	  9.37441E-001	  9.35246E-001	  9.19342E-001	  9.48441E-001	  9.33163E-001	  9.15886E-001	  9.27694E-001	
  2.00000E-004	  8.14217E-001	  8.19955E-001	  8.23195E-001	  8.02591E-001	  8.15164E-001	  8.21396E-001	  8.03158E-001	  8.24124E-001	  8.14084E-001	  8.06479E-001	  8.12029E-001	
  2.25000E-004	  7.11262E-001	  7.00047E-001	  7.24325E-001	  6.98689E-001	  7.11395E-001	  7.20192E-001	  7.13843E-001	  7.20942E-001	  7.14366E-001	  7.09290E-001	  6.99531E-001	
  2.50000E-004	  6.44114E-001	  6.47809E-001	  6.57336E-001	  6.28237E-001	  6.35201E-001	  6.46701E-001	  6.39231E-001	  6.56956E-001	  6.51348E-001	  6.42781E-001	  6.35537E-001	
  2.75000E-004	  6.15421E-001	  6.16743E-001	  6.21889E-001	  6.12205E-001	  6.06577E-001	  6.24646E-001	  6.20381E-001	  6.08780E-001	  6.10467E-001	  6.15498E-001	  6.17020E-001	
  3.00000E-004	  6.13441E-001	  6.26232E-001	  6.31872E-001	  6.04528E-001	  6.04919E-001	  6.13227E-001	  6.10682E-001	  6.18750E-001	  6.08068E-001	  6.14434E-001	  6.01703E-001	
  3.25000E-004	  6.49794E-001	  6.70332E-001	  6.58185E-001	  6.44032E-001	  6.45656E-001	  6.58017E-001	  6.48896E-001	  6.44699E-001	  6.43843E-001	  6.47002E-001	  6.37273E-001	
  3.50000E-004	  6.86156E-001	  7.16424E-001	  7.04259E-001	  6.97978E-001	  6.86798E-001	  6.89786E-001	  6.87864E-001	  6.78023E-001	  6.73382E-001	  6.74628E-001	  6.52421E-001	
  3.75000E-004	  7.47113E-001	  7.88754E-001	  7.67649E-001	  7.58622E-001	  7.41440E-001	  7.43235E-001	  7.50858E-001	  7.30980E-001	  7.24132E-001	  7.38426E-001	  7.27034E-001	
  4.00000E-004	  7.68069E-001	  8.06600E-001	  7.86306E-001	  7.79456E-001	  7.72161E-001	  7.68544E-001	  7.68936E-001	  7.50766E-001	  7.52917E-001	  7.53389E-001	  7.41620E-001	
  4.50000E-004	  7.02148E-001	  7.17285E-001	  7.15429E-001	  7.09038E-001	  6.99638E-001	  7.03540E-001	  7.00031E-001	  6.91373E-001	  6.90310E-001	  6.96695E-001	  6.98135E-001	
  5.00000E-004	  5.62195E-001	  5.66160E-001	  5.71605E-001	  5.58766E-001	  5.51428E-001	  5.67670E-001	  5.64585E-001	  5.57052E-001	  5.57781E-001	  5.63729E-001	  5.63170E-001	
  5.50000E-004	  4.28857E-001	  4.30415E-001	  4.33621E-001	  4.22598E-001	  4.20659E-001	  4.32738E-001	  4.43928E-001	  4.24421E-001	  4.11236E-001	  4.36717E-001	  4.32240E-001	
  6.00000E-004	  3.86177E-001	  3.86805E-001	  3.90909E-001	  3.81419E-001	  3.83255E-001	  3.91015E-001	  3.92056E-001	  3.83261E-001	  3.81577E-001	  3.83112E-001	  3.88364E-001	
  6.50000E-004	  3.58823E-001	  3.55097E-001	  3.66480E-001	  3.49237E-001	  3.52906E-001	  3.58871E-001	  3.65426E-001	  3.58626E-001	  3.51953E-001	  3.62933E-001	  3.66698E-001	
  7.00000E-004	  3.33280E-001	  3.40966E-001	  3.38061E-001	  3.29620E-001	  3.29713E-001	  3.28381E-001	  3.39122E-001	  3.29639E-001	  3.27161E-001	  3.31892E-001	  3.38241E-001	
  7.50000E-004	  3.03288E-001	  3.07553E-001	  3.08760E-001	  3.12151E-001	  3.00379E-001	  2.91618E-001	  3.00274E-001	  3.07923E-001	  3.01426E-001	  3.05312E-001	  2.97480E-001	
  8.00000E-004	  2.77732E-001	  2.82624E-001	  2.83279E-001	  2.76283E-001	  2.78463E-001	  2.68950E-001	  2.75092E-001	  2.82290E-001	  2.76976E-001	  2.85888E-001	  2.67474E-001	
  9.00000E-004	  2.42690E-001	  2.38280E-001	  2.41941E-001	  2.39289E-001	  2.43741E-001	  2.41135E-001	  2.42635E-001	  2.45884E-001	  2.46572E-001	  2.44895E-001	  2.42524E-001	
  1.00000E-003	  2.22596E-001	  2.26241E-001	  2.29064E-001	  2.19529E-001	  2.17638E-001	  2.19703E-001	  2.28849E-001	  2.32525E-001	  2.18593E-001	  2.17878E-001	  2.15939E-001	
  1.10000E-003	  2.00848E-001	  1.97658E-001	  2.06325E-001	  1.99903E-001	  2.02082E-001	  1.97419E-001	  1.97755E-001	  2.08907E-001	  2.04432E-001	  1.98951E-001	  1.95048E-001	
  1.20000E-003	  1.80031E-001	  1.86607E-001	  1.85766E-001	  1.86062E-001	  1.88879E-001	  1.67747E-001	  1.69429E-001	  1.77725E-001	  1.83606E-001	  1.75529E-001	  1.78964E-001	
  1.30000E-003	  1.64835E-001	  1.67419E-001	  1.63273E-001	  1.67899E-001	  1.62471E-001	  1.54955E-001	  1.60012E-001	  1.62454E-001	  1.65084E-001	  1.72175E-001	  1.72608E-001	
  1.40000E-003	  1.56602E-001	  1.59146E-001	  1.53392E-001	  1.58869E-001	  1.60179E-001	  1.51479E-001	  1.53441E-001	  1.59057E-001	  1.48036E-001	  1.58224E-001	  1.64200E-001	
  1.50000E-003	  1.51384E-001	  1.51861E-001	  1.52603E-001	  1.53618E-001	  1.56872E-001	  1.56353E-001	  1.46081E-001	  1.55429E-001	  1.45758E-001	  1.41760E-001	  1.53512E-001	
  1.60000E-003	  1.50561E-001	  1.48720E-001	  1.50765E-001	  1.53432E-001	  1.49382E-001	  1.58684E-001	  1.48205E-001	  1.48891E-001	  1.48804E-001	  1.46646E-001	  1.52086E-001	
  1.80000E-003	  1.53356E-001	  1.46825E-001	  1.45693E-001	  1.63858E-001	  1.54216E-001	  1.53255E-001	  1.57519E-001	  1.47311E-001	  1.53682E-001	  1.53737E-001	  1.57460E-001	
  2.00000E-003	  1.59252E-001	  1.57339E-001	  1.60276E-001	  1.62754E-001	  1.52668E-001	  1.60699E-001	  1.60531E-001	  1.63150E-001	  1.58715E-001	  1.62175E-001	  1.54214E-001	
  2.20000E-003	  1.66874E-001	  1.76190E-001	  1.71065E-001	  1.66496E-001	  1.61431E-001	  1.66196E-001	  1.65770E-001	  1.62557E-001	  1.65916E-001	  1.61888E-001	  1.71229E-001	
  2.40000E-003	  1.71994E-001	  1.78727E-001	  1.77295E-001	  1.69201E-001	  1.63791E-001	  1.78309E-001	  1.76271E-001	  1.63282E-001	  1.73519E-001	  1.71209E-001	  1.68336E-001	
  2.60000E-003	  1.67637E-001	  1.67997E-001	  1.69426E-001	  1.62568E-001	  1.66967E-001	  1.69476E-001	  1.73970E-001	  1.69855E-001	  1.68764E-001	  1.61720E-001	  1.65625E-001	
  2.80000E-003	  1.62352E-001	  1.58783E-001	  1.51308E-001	  1.62720E-001	  1.69648E-001	  1.65437E-001	  1.63881E-001	  1.62843E-001	  1.70388E-001	  1.64401E-001	  1.54107E-001	
  3.00000E-003	  1.52268E-001	  1.59480E-001	  1.46245E-001	  1.53943E-001	  1.61414E-001	  1.53967E-001	  1.48942E-001	  1.50790E-001	  1.50795E-001	  1.47813E-001	  1.49291E-001	
  3.20000E-003	  1.42386E-001	  1.42777E-001	  1.39382E-001	  1.40340E-001	  1.48124E-001	  1.42993E-001	  1.39211E-001	  1.44051E-001	  1.47211E-001	  1.42727E-001	  1.37043E-001	
  3.60000E-003	  1.21488E-001	  1.20499E-001	  1.18134E-001	  1.20664E-001	  1.22947E-001	  1.20613E-001	  1.20432E-001	  1.29685E-001	  1.17593E-001	  1.18299E-001	  1.26017E-001	
  4.00000E-003	  1.05543E-001	  1.09458E-001	  1.07424E-001	  1.06326E-001	  9.95972E-002	  1.07417E-001	  1.01209E-001	  1.02374E-001	  1.03622E-001	  1.08589E-001	  1.09410E-001	
  4.40000E-003	  9.16292E-002	  9.48271E-002	  8.81985E-002	  9.23001E-002	  8.45706E-002	  9.22675E-002	  9.33261E-002	  8.47901E-002	  9.48542E-002	  9.95462E-002	  9.16120E-002	
  4.80000E-003	  8.15977E-002	  7.69558E-002	  8.48521E-002	  8.17391E-002	  8.15634E-002	  8.77638E-002	  7.82054E-002	  7.60194E-002	  8.43699E-002	  8.49095E-002	  7.95983E-002	
  5.20000E-003	  7.52806E-002	  7.87792E-002	  7.53347E-002	  7.23534E-002	  7.80468E-002	  7.67196E-002	  7.63525E-002	  7.05054E-002	  7.62871E-002	  7.79857E-002	  7.04419E-002	
  5.60000E-003	  6.73797E-002	  7.29165E-002	  6.45886E-002	  6.38408E-002	  7.02227E-002	  7.36497E-002	  6.79471E-002	  6.43766E-002	  6.50752E-002	  6.40440E-002	  6.71358E-002	
  6.00000E-003	  6.34706E-002	  6.86534E-002	  6.06310E-002	  6.54706E-002	  6.21532E-002	  6.57415E-002	  6.08227E-002	  6.52451E-002	  6.60390E-002	  5.67256E-002	  6.32235E-002	
  6.40000E-003	  5.97577E-002	  5.87013E-002	  5.91316E-002	  5.66186E-002	  5.45354E-002	  5.89154E-002	  6.13548E-002	  6.16858E-002	  6.60664E-002	  6.17862E-002	  5.87813E-002	
  7.20000E-003	  5.57147E-002	  5.43105E-002	  5.40450E-002	  5.73247E-002	  5.71322E-002	  5.29311E-002	  5.84576E-002	  6.12496E-002	  5.89602E-002	  4.90477E-002	  5.36883E-002	
