ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:46:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301479
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     139.07492
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 139.910"	" 2, 140.536"	" 3, 139.907"	" 4, 140.280"	" 5, 139.415"	" 6, 139.455"	" 7, 139.323"	" 8, 139.234"	" 9, 138.492"	"10, 139.075"	
  2.50000E-005	  7.87816E+001	  7.85255E+001	  7.81092E+001	  7.85847E+001	  7.82066E+001	  7.88112E+001	  7.87500E+001	  7.90128E+001	  7.90965E+001	  7.95550E+001	  7.91647E+001	
  5.00000E-005	  7.21369E+001	  7.18732E+001	  7.14740E+001	  7.18838E+001	  7.16781E+001	  7.22190E+001	  7.21569E+001	  7.22702E+001	  7.24282E+001	  7.28342E+001	  7.25513E+001	
  7.50000E-005	  5.44643E+001	  5.43909E+001	  5.40231E+001	  5.42965E+001	  5.40450E+001	  5.44517E+001	  5.44235E+001	  5.45879E+001	  5.46389E+001	  5.49803E+001	  5.48054E+001	
  1.00000E-004	  1.56463E+001	  1.57830E+001	  1.55532E+001	  1.55939E+001	  1.54693E+001	  1.55981E+001	  1.55735E+001	  1.56904E+001	  1.56882E+001	  1.57998E+001	  1.57139E+001	
  1.25000E-004	  5.20443E+000	  5.29302E+000	  5.17990E+000	  5.21317E+000	  5.13194E+000	  5.18023E+000	  5.19355E+000	  5.22796E+000	  5.20055E+000	  5.20997E+000	  5.21397E+000	
  1.50000E-004	  1.95307E+000	  2.02556E+000	  1.99031E+000	  2.00052E+000	  1.94681E+000	  1.95571E+000	  1.92936E+000	  1.95020E+000	  1.91296E+000	  1.90792E+000	  1.91135E+000	
  1.75000E-004	  1.46114E+000	  1.52297E+000	  1.47152E+000	  1.48897E+000	  1.44409E+000	  1.47555E+000	  1.46778E+000	  1.46088E+000	  1.43599E+000	  1.41566E+000	  1.42801E+000	
  2.00000E-004	  1.29850E+000	  1.37075E+000	  1.32119E+000	  1.31398E+000	  1.29375E+000	  1.30584E+000	  1.28751E+000	  1.27281E+000	  1.27524E+000	  1.27147E+000	  1.27243E+000	
  2.25000E-004	  1.07455E+000	  1.09036E+000	  1.07726E+000	  1.07071E+000	  1.07672E+000	  1.07918E+000	  1.09309E+000	  1.06612E+000	  1.07445E+000	  1.05836E+000	  1.05928E+000	
  2.50000E-004	  9.72471E-001	  1.01684E+000	  9.62045E-001	  9.77087E-001	  9.67930E-001	  9.83652E-001	  9.81269E-001	  9.50125E-001	  9.66915E-001	  9.51566E-001	  9.67287E-001	
  2.75000E-004	  9.49020E-001	  1.01180E+000	  9.61032E-001	  9.71908E-001	  9.70574E-001	  9.53457E-001	  9.31195E-001	  9.25868E-001	  9.30123E-001	  9.11718E-001	  9.22532E-001	
  3.00000E-004	  9.78789E-001	  1.08872E+000	  1.00918E+000	  1.00707E+000	  9.76809E-001	  9.72809E-001	  9.61930E-001	  9.51293E-001	  9.45366E-001	  9.37350E-001	  9.37358E-001	
  3.25000E-004	  1.06383E+000	  1.18671E+000	  1.11366E+000	  1.11439E+000	  1.06303E+000	  1.07753E+000	  1.04150E+000	  1.02592E+000	  9.94629E-001	  1.00927E+000	  1.01163E+000	
  3.50000E-004	  1.14155E+000	  1.29478E+000	  1.21394E+000	  1.18479E+000	  1.13731E+000	  1.13799E+000	  1.11940E+000	  1.09711E+000	  1.08865E+000	  1.06187E+000	  1.07969E+000	
