ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:00:24"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301516
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     174.64584
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 175.287"	" 2, 173.932"	" 3, 175.208"	" 4, 175.082"	" 5, 176.524"	" 6, 175.682"	" 7, 175.380"	" 8, 175.687"	" 9, 174.794"	"10, 174.646"	
  2.50000E-005	  6.29464E+001	  6.29078E+001	  6.34184E+001	  6.29272E+001	  6.30211E+001	  6.25112E+001	  6.28331E+001	  6.28716E+001	  6.27021E+001	  6.30624E+001	  6.32091E+001	
  5.00000E-005	  5.78461E+001	  5.77219E+001	  5.82623E+001	  5.78752E+001	  5.79015E+001	  5.74962E+001	  5.76994E+001	  5.77415E+001	  5.76737E+001	  5.80289E+001	  5.80606E+001	
  7.50000E-005	  4.38678E+001	  4.37691E+001	  4.41663E+001	  4.39344E+001	  4.39452E+001	  4.36154E+001	  4.37619E+001	  4.37919E+001	  4.36960E+001	  4.39649E+001	  4.40326E+001	
  1.00000E-004	  1.25326E+001	  1.25150E+001	  1.26317E+001	  1.25676E+001	  1.25726E+001	  1.24690E+001	  1.25338E+001	  1.25083E+001	  1.24516E+001	  1.25228E+001	  1.25530E+001	
  1.25000E-004	  4.12837E+000	  4.12358E+000	  4.17375E+000	  4.14154E+000	  4.13974E+000	  4.09506E+000	  4.14561E+000	  4.10022E+000	  4.10734E+000	  4.12211E+000	  4.13478E+000	
  1.50000E-004	  1.42584E+000	  1.44384E+000	  1.44378E+000	  1.40918E+000	  1.44096E+000	  1.42768E+000	  1.42137E+000	  1.40297E+000	  1.42553E+000	  1.42645E+000	  1.41667E+000	
  1.75000E-004	  1.07007E+000	  1.08397E+000	  1.07405E+000	  1.06493E+000	  1.07595E+000	  1.07429E+000	  1.06994E+000	  1.05098E+000	  1.08166E+000	  1.06748E+000	  1.05742E+000	
  2.00000E-004	  9.42312E-001	  9.50437E-001	  9.53067E-001	  9.41798E-001	  9.44406E-001	  9.42322E-001	  9.33340E-001	  9.27041E-001	  9.36962E-001	  9.49985E-001	  9.43757E-001	
  2.25000E-004	  8.19845E-001	  8.31492E-001	  8.25649E-001	  8.10711E-001	  8.34027E-001	  8.26109E-001	  8.05724E-001	  8.10775E-001	  8.20031E-001	  8.08569E-001	  8.25363E-001	
  2.50000E-004	  7.42782E-001	  7.47796E-001	  7.42894E-001	  7.38411E-001	  7.48843E-001	  7.43069E-001	  7.37660E-001	  7.29656E-001	  7.45050E-001	  7.39614E-001	  7.54830E-001	
