ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"11:06:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2793974
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      53.49066
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  53.670"	" 2,  54.143"	" 3,  53.939"	" 4,  53.366"	" 5,  53.553"	" 6,  53.655"	" 7,  53.826"	" 8,  53.307"	" 9,  53.389"	"10,  53.491"	
  2.50000E-005	  2.05906E+002	  2.05726E+002	  2.04087E+002	  2.04682E+002	  2.07283E+002	  2.06014E+002	  2.06057E+002	  2.05363E+002	  2.06893E+002	  2.06498E+002	  2.06459E+002	
  5.00000E-005	  1.87612E+002	  1.87561E+002	  1.85979E+002	  1.86424E+002	  1.88320E+002	  1.88109E+002	  1.87296E+002	  1.87105E+002	  1.88507E+002	  1.88546E+002	  1.88271E+002	
  7.50000E-005	  1.40601E+002	  1.40770E+002	  1.39105E+002	  1.39669E+002	  1.41293E+002	  1.40539E+002	  1.40684E+002	  1.40483E+002	  1.41272E+002	  1.41002E+002	  1.41195E+002	
  1.00000E-004	  4.04644E+001	  4.04369E+001	  3.98993E+001	  4.00400E+001	  4.07105E+001	  4.04699E+001	  4.07139E+001	  4.05381E+001	  4.05730E+001	  4.06112E+001	  4.06514E+001	
  1.25000E-004	  1.34553E+001	  1.33374E+001	  1.32907E+001	  1.32518E+001	  1.34825E+001	  1.34158E+001	  1.36455E+001	  1.34087E+001	  1.35750E+001	  1.36349E+001	  1.35102E+001	
  1.50000E-004	  4.53953E+000	  4.54502E+000	  4.39860E+000	  4.51920E+000	  4.51285E+000	  4.49435E+000	  4.64910E+000	  4.60734E+000	  4.57794E+000	  4.57037E+000	  4.52050E+000	
  1.75000E-004	  3.39046E+000	  3.32812E+000	  3.29295E+000	  3.39944E+000	  3.35511E+000	  3.37074E+000	  3.45841E+000	  3.46331E+000	  3.41530E+000	  3.38086E+000	  3.44035E+000	
  2.00000E-004	  2.95439E+000	  2.96509E+000	  2.83840E+000	  2.91179E+000	  2.99870E+000	  2.93822E+000	  2.98316E+000	  2.91823E+000	  3.01637E+000	  3.04629E+000	  2.92764E+000	
  2.25000E-004	  2.54157E+000	  2.48815E+000	  2.49578E+000	  2.53501E+000	  2.55799E+000	  2.47780E+000	  2.63012E+000	  2.58907E+000	  2.63119E+000	  2.56805E+000	  2.44253E+000	
  2.50000E-004	  2.30428E+000	  2.23116E+000	  2.30013E+000	  2.27554E+000	  2.35473E+000	  2.23643E+000	  2.27521E+000	  2.31791E+000	  2.38215E+000	  2.37339E+000	  2.29611E+000	
  2.75000E-004	  2.23438E+000	  2.11817E+000	  2.16227E+000	  2.23966E+000	  2.30790E+000	  2.14109E+000	  2.26538E+000	  2.28798E+000	  2.30910E+000	  2.27231E+000	  2.23998E+000	
  3.00000E-004	  2.31866E+000	  2.31173E+000	  2.26373E+000	  2.29486E+000	  2.37347E+000	  2.21224E+000	  2.36745E+000	  2.32251E+000	  2.29440E+000	  2.40193E+000	  2.34430E+000	
  3.25000E-004	  2.50311E+000	  2.42981E+000	  2.40888E+000	  2.48348E+000	  2.57673E+000	  2.49780E+000	  2.50745E+000	  2.50942E+000	  2.57142E+000	  2.53342E+000	  2.51270E+000	
  3.50000E-004	  2.72714E+000	  2.67337E+000	  2.59952E+000	  2.67900E+000	  2.77437E+000	  2.71871E+000	  2.77012E+000	  2.71567E+000	  2.76211E+000	  2.81372E+000	  2.76485E+000	
  3.75000E-004	  2.99312E+000	  2.96278E+000	  2.88072E+000	  2.97068E+000	  3.02680E+000	  2.97124E+000	  2.98972E+000	  3.03563E+000	  3.04625E+000	  3.08981E+000	  2.95758E+000	
  4.00000E-004	  3.02646E+000	  3.03270E+000	  2.90620E+000	  3.02289E+000	  3.06404E+000	  3.02612E+000	  3.01336E+000	  3.03862E+000	  3.07708E+000	  3.05518E+000	  3.02845E+000	
