ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:54:07"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301497
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     164.56770
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 165.709"	" 2, 165.864"	" 3, 165.102"	" 4, 164.332"	" 5, 163.561"	" 6, 162.925"	" 7, 163.165"	" 8, 163.411"	" 9, 164.485"	"10, 164.568"	
  2.50000E-005	  6.71268E+001	  6.63414E+001	  6.63537E+001	  6.67635E+001	  6.70221E+001	  6.72649E+001	  6.75991E+001	  6.75890E+001	  6.75380E+001	  6.74104E+001	  6.73862E+001	
  5.00000E-005	  6.15589E+001	  6.09297E+001	  6.08379E+001	  6.12604E+001	  6.13966E+001	  6.17621E+001	  6.20608E+001	  6.19146E+001	  6.19555E+001	  6.17515E+001	  6.17195E+001	
  7.50000E-005	  4.66790E+001	  4.60462E+001	  4.60123E+001	  4.63605E+001	  4.65481E+001	  4.67048E+001	  4.69814E+001	  4.69503E+001	  4.70034E+001	  4.70901E+001	  4.70927E+001	
  1.00000E-004	  1.34460E+001	  1.31281E+001	  1.31413E+001	  1.32499E+001	  1.34099E+001	  1.34379E+001	  1.35115E+001	  1.34782E+001	  1.35817E+001	  1.37537E+001	  1.37682E+001	
  1.25000E-004	  4.43535E+000	  4.32845E+000	  4.31340E+000	  4.40320E+000	  4.41211E+000	  4.42936E+000	  4.44563E+000	  4.44673E+000	  4.49392E+000	  4.53614E+000	  4.54455E+000	
  1.50000E-004	  1.55123E+000	  1.55513E+000	  1.53813E+000	  1.53105E+000	  1.56063E+000	  1.52840E+000	  1.56652E+000	  1.56457E+000	  1.55453E+000	  1.56772E+000	  1.54567E+000	
  1.75000E-004	  1.17199E+000	  1.17037E+000	  1.17000E+000	  1.17198E+000	  1.16905E+000	  1.16138E+000	  1.17634E+000	  1.17334E+000	  1.17681E+000	  1.18264E+000	  1.16793E+000	
  2.00000E-004	  1.02927E+000	  1.03646E+000	  1.02538E+000	  1.02857E+000	  1.01787E+000	  1.01159E+000	  1.04424E+000	  1.02966E+000	  1.03211E+000	  1.02567E+000	  1.04116E+000	
  2.25000E-004	  8.95350E-001	  8.88161E-001	  8.88800E-001	  9.08389E-001	  8.89155E-001	  8.86929E-001	  8.96361E-001	  9.03152E-001	  8.91847E-001	  9.00496E-001	  9.00207E-001	
  2.50000E-004	  8.07450E-001	  8.09083E-001	  7.99398E-001	  8.12580E-001	  7.96300E-001	  7.96787E-001	  8.02949E-001	  8.05908E-001	  8.18520E-001	  8.18610E-001	  8.14364E-001	
