ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:48:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2767151
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	       2.36438
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.972"	" 2,   1.980"	" 3,   2.029"	" 4,   2.033"	" 5,   1.999"	" 6,   2.082"	" 7,   2.298"	" 8,   2.405"	" 9,   2.456"	"10,   2.364"	
  9.00000E-004	  1.87376E+001	  2.27527E+001	  2.28985E+001	  2.02926E+001	  1.67188E+001	  1.81600E+001	  1.78448E+001	  1.67499E+001	  1.80888E+001	  1.87082E+001	  1.51617E+001	
  1.00000E-003	  1.55107E+001	  1.94084E+001	  1.61557E+001	  1.55969E+001	  1.71252E+001	  1.78239E+001	  1.42297E+001	  1.43496E+001	  1.41672E+001	  1.33636E+001	  1.28871E+001	
  1.10000E-003	  1.37062E+001	  1.54639E+001	  1.37658E+001	  1.60827E+001	  1.57434E+001	  1.48826E+001	  1.29990E+001	  1.36547E+001	  1.13414E+001	  1.03016E+001	  1.28272E+001	
  1.20000E-003	  1.21532E+001	  1.48637E+001	  1.13760E+001	  1.18727E+001	  1.24110E+001	  1.58070E+001	  1.14607E+001	  1.25809E+001	  1.14567E+001	  9.68920E+000	  1.00139E+001	
  1.30000E-003	  1.09658E+001	  1.34060E+001	  1.07785E+001	  1.34110E+001	  1.33863E+001	  1.01767E+001	  1.02300E+001	  1.01805E+001	  9.03460E+000	  7.96334E+000	  1.10913E+001	
  1.40000E-003	  1.02509E+001	  9.37572E+000	  8.47404E+000	  1.31681E+001	  1.24923E+001	  1.26137E+001	  1.01531E+001	  1.10649E+001	  8.16955E+000	  7.46228E+000	  9.53500E+000	
  1.50000E-003	  8.78139E+000	  7.57497E+000	  8.81545E+000	  9.60583E+000	  9.24112E+000	  8.58001E+000	  8.84546E+000	  1.18861E+001	  7.76586E+000	  9.07680E+000	  6.42239E+000	
  1.60000E-003	  8.87698E+000	  7.78934E+000	  8.94347E+000	  1.01726E+001	  9.15984E+000	  8.83211E+000	  9.15313E+000	  9.39096E+000	  7.56401E+000	  1.11924E+001	  6.57203E+000	
  1.80000E-003	  1.00577E+001	  1.18625E+001	  1.28270E+001	  1.20751E+001	  9.07856E+000	  1.05128E+001	  1.00761E+001	  7.05378E+000	  8.68858E+000	  1.02738E+001	  8.12834E+000	
  2.00000E-003	  1.01013E+001	  1.11765E+001	  1.18454E+001	  1.12250E+001	  7.65618E+000	  1.00506E+001	  9.88385E+000	  8.60137E+000	  9.69781E+000	  1.08027E+001	  1.00737E+001	
  2.20000E-003	  1.05806E+001	  1.06191E+001	  1.37232E+001	  1.30062E+001	  9.24112E+000	  1.04288E+001	  1.09222E+001	  9.61204E+000	  9.52480E+000	  8.71492E+000	  1.00139E+001	
  2.40000E-003	  1.08219E+001	  1.25485E+001	  9.28488E+000	  1.23180E+001	  1.20452E+001	  1.28238E+001	  9.38389E+000	  1.01805E+001	  1.01592E+001	  1.03294E+001	  9.14593E+000	
  2.60000E-003	  1.13050E+001	  1.35774E+001	  1.21015E+001	  1.19132E+001	  1.06229E+001	  1.42524E+001	  1.04223E+001	  1.03700E+001	  9.84198E+000	  1.08027E+001	  9.14593E+000	
  2.80000E-003	  1.10745E+001	  1.27200E+001	  1.25282E+001	  1.06988E+001	  1.30612E+001	  1.09330E+001	  1.05377E+001	  1.05280E+001	  9.12111E+000	  9.07680E+000	  1.15402E+001	
  3.00000E-003	  1.03783E+001	  1.03190E+001	  1.14613E+001	  9.92967E+000	  1.13950E+001	  1.10170E+001	  1.09222E+001	  8.44345E+000	  1.01880E+001	  9.88405E+000	  1.02234E+001	
  3.20000E-003	  9.36479E+000	  1.00617E+001	  1.03518E+001	  9.20103E+000	  9.76943E+000	  9.77751E+000	  1.01723E+001	  8.49083E+000	  8.65974E+000	  7.83807E+000	  9.32550E+000	
  3.60000E-003	  6.98869E+000	  8.26097E+000	  7.40714E+000	  6.46861E+000	  7.43267E+000	  6.85729E+000	  7.84553E+000	  6.46949E+000	  5.30046E+000	  6.59935E+000	  7.24544E+000	
  4.00000E-003	  5.50560E+000	  5.64560E+000	  5.14532E+000	  5.67924E+000	  6.43700E+000	  6.10097E+000	  7.30711E+000	  4.76398E+000	  4.85352E+000	  4.51162E+000	  4.61168E+000	
  4.40000E-003	  3.96778E+000	  3.22317E+000	  4.97462E+000	  4.74820E+000	  4.93335E+000	  4.63036E+000	  4.07657E+000	  3.70593E+000	  3.05133E+000	  2.99453E+000	  3.33970E+000	
