ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:20:47"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   1541382
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      97.46115
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  97.353"	" 2,  96.744"	" 3,  97.683"	" 4,  98.039"	" 5,  97.891"	" 6,  97.654"	" 7,  97.414"	" 8,  98.104"	" 9,  97.710"	"10,  97.461"	
  2.50000E-005	  1.13667E+002	  1.13886E+002	  1.14728E+002	  1.13763E+002	  1.13536E+002	  1.13329E+002	  1.13504E+002	  1.13679E+002	  1.13006E+002	  1.13520E+002	  1.13724E+002	
  5.00000E-005	  1.03812E+002	  1.04028E+002	  1.04838E+002	  1.03860E+002	  1.03713E+002	  1.03566E+002	  1.03516E+002	  1.03877E+002	  1.03088E+002	  1.03666E+002	  1.03971E+002	
  7.50000E-005	  7.83783E+001	  7.86895E+001	  7.92449E+001	  7.85377E+001	  7.86225E+001	  7.82101E+001	  7.80912E+001	  7.82830E+001	  7.76902E+001	  7.81857E+001	  7.82277E+001	
  1.00000E-004	  2.29599E+001	  2.31362E+001	  2.33309E+001	  2.31640E+001	  2.33584E+001	  2.29119E+001	  2.27640E+001	  2.27453E+001	  2.25854E+001	  2.28229E+001	  2.27802E+001	
  1.25000E-004	  7.47245E+000	  7.53960E+000	  7.59043E+000	  7.53516E+000	  7.63578E+000	  7.47301E+000	  7.38289E+000	  7.41914E+000	  7.33041E+000	  7.43046E+000	  7.38761E+000	
  1.50000E-004	  2.54276E+000	  2.57741E+000	  2.60981E+000	  2.55916E+000	  2.57990E+000	  2.53777E+000	  2.50930E+000	  2.48831E+000	  2.51638E+000	  2.56280E+000	  2.48679E+000	
  1.75000E-004	  1.90172E+000	  1.94489E+000	  1.95383E+000	  1.92258E+000	  1.90283E+000	  1.89597E+000	  1.89421E+000	  1.86115E+000	  1.84816E+000	  1.92183E+000	  1.87174E+000	
  2.00000E-004	  1.65362E+000	  1.66924E+000	  1.71156E+000	  1.65979E+000	  1.65063E+000	  1.66227E+000	  1.65349E+000	  1.63232E+000	  1.59374E+000	  1.63780E+000	  1.66532E+000	
  2.25000E-004	  1.42133E+000	  1.43128E+000	  1.43523E+000	  1.44606E+000	  1.43589E+000	  1.40825E+000	  1.42095E+000	  1.39465E+000	  1.40994E+000	  1.45087E+000	  1.38013E+000	
  2.50000E-004	  1.28985E+000	  1.33052E+000	  1.33063E+000	  1.29999E+000	  1.29622E+000	  1.25612E+000	  1.29446E+000	  1.28768E+000	  1.24652E+000	  1.29049E+000	  1.26583E+000	
  2.75000E-004	  1.25083E+000	  1.30090E+000	  1.26992E+000	  1.27888E+000	  1.26099E+000	  1.22856E+000	  1.24150E+000	  1.22907E+000	  1.23744E+000	  1.22301E+000	  1.23802E+000	
  3.00000E-004	  1.29346E+000	  1.41031E+000	  1.34089E+000	  1.33452E+000	  1.30652E+000	  1.25292E+000	  1.27770E+000	  1.26154E+000	  1.25349E+000	  1.24718E+000	  1.24954E+000	
  3.25000E-004	  1.40997E+000	  1.59157E+000	  1.46416E+000	  1.42468E+000	  1.39328E+000	  1.36858E+000	  1.39165E+000	  1.39408E+000	  1.35412E+000	  1.36132E+000	  1.35626E+000	
  3.50000E-004	  1.54068E+000	  1.73486E+000	  1.61195E+000	  1.56376E+000	  1.55942E+000	  1.49831E+000	  1.49194E+000	  1.51566E+000	  1.49312E+000	  1.46876E+000	  1.46902E+000	
  3.75000E-004	  1.69532E+000	  1.92051E+000	  1.80861E+000	  1.69152E+000	  1.70940E+000	  1.67021E+000	  1.62969E+000	  1.66648E+000	  1.65096E+000	  1.59156E+000	  1.61421E+000	
  4.00000E-004	  1.70102E+000	  1.89415E+000	  1.79657E+000	  1.71508E+000	  1.71678E+000	  1.66909E+000	  1.63694E+000	  1.68208E+000	  1.63198E+000	  1.61552E+000	  1.65198E+000	
  4.50000E-004	  1.48194E+000	  1.57556E+000	  1.52993E+000	  1.48870E+000	  1.47342E+000	  1.47520E+000	  1.46348E+000	  1.47062E+000	  1.44225E+000	  1.43013E+000	  1.47007E+000	
  5.00000E-004	  1.12951E+000	  1.18688E+000	  1.14095E+000	  1.12694E+000	  1.11915E+000	  1.13252E+000	  1.14572E+000	  1.11635E+000	  1.09014E+000	  1.10426E+000	  1.13222E+000	
  5.50000E-004	  8.69914E-001	  8.99461E-001	  8.69035E-001	  8.66104E-001	  8.63337E-001	  8.54906E-001	  8.97192E-001	  8.65172E-001	  8.53024E-001	  8.67739E-001	  8.63171E-001	
  6.00000E-004	  7.77346E-001	  7.98766E-001	  7.86948E-001	  7.64831E-001	  7.65160E-001	  7.65129E-001	  7.88807E-001	  7.85829E-001	  7.62448E-001	  7.69245E-001	  7.86291E-001	
  6.50000E-004	  7.21447E-001	  7.21881E-001	  7.32936E-001	  7.12203E-001	  7.09039E-001	  7.08757E-001	  7.10424E-001	  7.59053E-001	  7.01391E-001	  7.28032E-001	  7.30755E-001	
  7.00000E-004	  6.61748E-001	  6.80214E-001	  6.81134E-001	  6.64537E-001	  6.43797E-001	  6.53360E-001	  6.42111E-001	  6.89126E-001	  6.29865E-001	  6.56991E-001	  6.76342E-001	
  7.50000E-004	  6.03476E-001	  6.42586E-001	  6.06885E-001	  5.86398E-001	  5.93873E-001	  6.19885E-001	  5.67883E-001	  6.26087E-001	  5.72157E-001	  5.93564E-001	  6.25439E-001	
  8.00000E-004	  5.56840E-001	  5.84905E-001	  5.57719E-001	  5.55401E-001	  5.64316E-001	  5.62226E-001	  5.41896E-001	  5.51944E-001	  5.11273E-001	  5.51512E-001	  5.87210E-001	
  9.00000E-004	  4.86687E-001	  4.94378E-001	  5.05560E-001	  4.92813E-001	  4.94165E-001	  4.75059E-001	  4.86506E-001	  4.80612E-001	  4.62880E-001	  4.79983E-001	  4.94918E-001	
  1.00000E-003	  4.40847E-001	  4.53810E-001	  4.69789E-001	  4.49446E-001	  4.58132E-001	  4.16564E-001	  4.34462E-001	  4.42768E-001	  4.36119E-001	  4.42402E-001	  4.04979E-001	
  1.10000E-003	  3.99557E-001	  4.10549E-001	  4.23438E-001	  4.03352E-001	  4.05771E-001	  3.72302E-001	  3.79389E-001	  4.06012E-001	  3.99799E-001	  4.09326E-001	  3.85636E-001	
  1.20000E-003	  3.55458E-001	  3.76287E-001	  3.47657E-001	  3.45028E-001	  3.54420E-001	  3.66560E-001	  3.42591E-001	  3.45609E-001	  3.55837E-001	  3.58158E-001	  3.62431E-001	
  1.30000E-003	  3.30096E-001	  3.63106E-001	  3.20758E-001	  3.39996E-001	  3.28030E-001	  3.14086E-001	  3.30971E-001	  3.31342E-001	  3.09886E-001	  3.42930E-001	  3.19849E-001	
