ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:06:32"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301523
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     193.14627
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 196.122"	" 2, 195.341"	" 3, 193.868"	" 4, 193.779"	" 5, 192.088"	" 6, 195.662"	" 7, 199.107"	" 8, 199.867"	" 9, 192.221"	"10, 193.146"	
  2.50000E-005	  5.67403E+001	  5.63857E+001	  5.67166E+001	  5.71423E+001	  5.71231E+001	  5.76601E+001	  5.65863E+001	  5.56140E+001	  5.53572E+001	  5.75130E+001	  5.73045E+001	
  5.00000E-005	  5.21919E+001	  5.18996E+001	  5.20975E+001	  5.25086E+001	  5.25661E+001	  5.30143E+001	  5.20179E+001	  5.11416E+001	  5.09641E+001	  5.29890E+001	  5.27203E+001	
  7.50000E-005	  3.96466E+001	  3.93927E+001	  3.96167E+001	  3.98975E+001	  3.99372E+001	  4.02895E+001	  3.95100E+001	  3.88662E+001	  3.87430E+001	  4.01837E+001	  4.00292E+001	
  1.00000E-004	  1.13294E+001	  1.12481E+001	  1.13267E+001	  1.13894E+001	  1.14429E+001	  1.15370E+001	  1.12722E+001	  1.11215E+001	  1.10573E+001	  1.14558E+001	  1.14432E+001	
  1.25000E-004	  3.71135E+000	  3.69290E+000	  3.72329E+000	  3.72572E+000	  3.74112E+000	  3.77026E+000	  3.68605E+000	  3.64276E+000	  3.62437E+000	  3.73612E+000	  3.77094E+000	
  1.50000E-004	  1.28318E+000	  1.27899E+000	  1.29562E+000	  1.29682E+000	  1.27865E+000	  1.30108E+000	  1.27780E+000	  1.25678E+000	  1.24199E+000	  1.28714E+000	  1.31688E+000	
  1.75000E-004	  9.66687E-001	  9.71723E-001	  9.84310E-001	  9.66035E-001	  9.66292E-001	  9.76757E-001	  9.71531E-001	  9.45024E-001	  9.36984E-001	  9.60017E-001	  9.88194E-001	
  2.00000E-004	  8.52226E-001	  8.65413E-001	  8.61899E-001	  8.50912E-001	  8.48485E-001	  8.52188E-001	  8.50911E-001	  8.39815E-001	  8.22929E-001	  8.57822E-001	  8.71887E-001	
  2.25000E-004	  7.45213E-001	  7.55554E-001	  7.49275E-001	  7.50481E-001	  7.38270E-001	  7.45983E-001	  7.51513E-001	  7.29998E-001	  7.14691E-001	  7.45591E-001	  7.70775E-001	
  2.50000E-004	  6.81440E-001	  6.84530E-001	  6.82092E-001	  6.79718E-001	  6.76818E-001	  6.80084E-001	  6.89315E-001	  6.72465E-001	  6.65632E-001	  6.84512E-001	  6.99232E-001	
  2.75000E-004	  6.40363E-001	  6.44512E-001	  6.41369E-001	  6.45437E-001	  6.44452E-001	  6.36380E-001	  6.35577E-001	  6.32629E-001	  6.25216E-001	  6.49171E-001	  6.48891E-001	
  3.00000E-004	  6.37108E-001	  6.51089E-001	  6.47801E-001	  6.48844E-001	  6.42171E-001	  6.25897E-001	  6.35018E-001	  6.13653E-001	  6.23702E-001	  6.38378E-001	  6.44529E-001	
  3.25000E-004	  6.53514E-001	  6.71620E-001	  6.59196E-001	  6.59135E-001	  6.52401E-001	  6.50081E-001	  6.52429E-001	  6.36363E-001	  6.40448E-001	  6.52131E-001	  6.61333E-001	
  3.50000E-004	  6.94018E-001	  7.12995E-001	  6.96633E-001	  7.05128E-001	  6.90078E-001	  6.90061E-001	  6.79945E-001	  6.78487E-001	  6.81436E-001	  7.07471E-001	  6.97945E-001	
  3.75000E-004	  7.48662E-001	  7.60669E-001	  7.63222E-001	  7.60205E-001	  7.63578E-001	  7.54659E-001	  7.42527E-001	  7.26902E-001	  7.30898E-001	  7.43714E-001	  7.40242E-001	
  4.00000E-004	  7.66577E-001	  7.76677E-001	  7.75945E-001	  7.72519E-001	  7.79708E-001	  7.74920E-001	  7.60288E-001	  7.44095E-001	  7.49274E-001	  7.67737E-001	  7.64609E-001	
  4.50000E-004	  7.21119E-001	  7.34483E-001	  7.10947E-001	  7.28958E-001	  7.35811E-001	  7.39694E-001	  7.13613E-001	  7.01399E-001	  7.11530E-001	  7.16567E-001	  7.18182E-001	
  5.00000E-004	  5.99456E-001	  6.10914E-001	  5.96226E-001	  6.08210E-001	  6.05528E-001	  6.17167E-001	  5.87609E-001	  5.78813E-001	  6.01006E-001	  5.91955E-001	  5.97138E-001	
  5.50000E-004	  4.73223E-001	  4.80297E-001	  4.66596E-001	  4.81943E-001	  4.81144E-001	  4.87538E-001	  4.65083E-001	  4.51349E-001	  4.78477E-001	  4.70139E-001	  4.69658E-001	
  6.00000E-004	  4.25364E-001	  4.19852E-001	  4.20928E-001	  4.30486E-001	  4.28211E-001	  4.35520E-001	  4.22289E-001	  4.11210E-001	  4.33572E-001	  4.28536E-001	  4.23035E-001	
  6.50000E-004	  3.99034E-001	  3.92587E-001	  3.89993E-001	  4.03071E-001	  4.05345E-001	  3.99064E-001	  3.98182E-001	  3.97012E-001	  4.00704E-001	  4.05018E-001	  3.99366E-001	
  7.00000E-004	  3.71277E-001	  3.68106E-001	  3.60718E-001	  3.69926E-001	  3.81160E-001	  3.75604E-001	  3.68272E-001	  3.72720E-001	  3.66087E-001	  3.80778E-001	  3.69405E-001	
  7.50000E-004	  3.41834E-001	  3.44043E-001	  3.27389E-001	  3.39211E-001	  3.50095E-001	  3.54673E-001	  3.33275E-001	  3.45417E-001	  3.42768E-001	  3.41935E-001	  3.39532E-001	
  8.00000E-004	  3.16009E-001	  3.17327E-001	  3.06417E-001	  3.14369E-001	  3.23308E-001	  3.26378E-001	  3.16029E-001	  3.19595E-001	  3.14734E-001	  3.11134E-001	  3.10804E-001	
  9.00000E-004	  2.79826E-001	  2.78161E-001	  2.74940E-001	  2.89811E-001	  2.85577E-001	  2.85973E-001	  2.83768E-001	  2.72273E-001	  2.77906E-001	  2.79015E-001	  2.70831E-001	
  1.00000E-003	  2.57952E-001	  2.54054E-001	  2.43996E-001	  2.69770E-001	  2.61267E-001	  2.72119E-001	  2.65002E-001	  2.57890E-001	  2.45568E-001	  2.56210E-001	  2.53643E-001	
  1.10000E-003	  2.36271E-001	  2.38351E-001	  2.27637E-001	  2.44254E-001	  2.37100E-001	  2.48188E-001	  2.40091E-001	  2.31949E-001	  2.35035E-001	  2.31888E-001	  2.28213E-001	
  1.20000E-003	  2.17419E-001	  2.31870E-001	  2.12004E-001	  2.24407E-001	  2.09662E-001	  2.17037E-001	  2.13415E-001	  2.15429E-001	  2.18802E-001	  2.23802E-001	  2.07762E-001	
  1.30000E-003	  2.06659E-001	  2.08103E-001	  2.06891E-001	  2.12483E-001	  2.08325E-001	  2.05000E-001	  2.04499E-001	  2.12300E-001	  2.02822E-001	  2.12882E-001	  1.93282E-001	
  1.40000E-003	  1.96678E-001	  2.01526E-001	  1.97471E-001	  1.87082E-001	  1.96545E-001	  1.92827E-001	  2.00715E-001	  1.97110E-001	  1.98737E-001	  1.95104E-001	  1.99664E-001	
  1.50000E-003	  1.91606E-001	  1.94174E-001	  1.82493E-001	  1.83365E-001	  1.93880E-001	  1.90974E-001	  1.91677E-001	  1.87765E-001	  1.94845E-001	  1.99950E-001	  1.96937E-001	
  1.60000E-003	  1.92735E-001	  1.99912E-001	  1.87212E-001	  1.89420E-001	  1.91323E-001	  1.98958E-001	  1.94317E-001	  1.87668E-001	  1.90499E-001	  1.95929E-001	  1.92111E-001	
  1.80000E-003	  1.93781E-001	  1.96758E-001	  1.90699E-001	  1.95826E-001	  1.96407E-001	  1.82840E-001	  1.94610E-001	  2.01542E-001	  1.95664E-001	  1.94336E-001	  1.89125E-001	
  2.00000E-003	  1.98709E-001	  1.97202E-001	  1.92604E-001	  1.99619E-001	  1.97213E-001	  2.02546E-001	  2.02284E-001	  2.01547E-001	  1.97753E-001	  2.07359E-001	  1.88964E-001	
  2.20000E-003	  2.06963E-001	  2.02256E-001	  2.14953E-001	  2.04773E-001	  2.04935E-001	  1.97056E-001	  2.09758E-001	  2.08763E-001	  2.01780E-001	  2.16068E-001	  2.09290E-001	
  2.40000E-003	  2.11230E-001	  2.08433E-001	  2.11165E-001	  2.11419E-001	  2.09043E-001	  2.13892E-001	  2.11825E-001	  2.15787E-001	  2.10249E-001	  2.12517E-001	  2.07967E-001	
  2.60000E-003	  2.11332E-001	  2.09434E-001	  2.18273E-001	  2.02759E-001	  2.17009E-001	  2.02234E-001	  2.21601E-001	  2.09440E-001	  2.10795E-001	  2.10224E-001	  2.11552E-001	
  2.80000E-003	  2.03468E-001	  1.97985E-001	  2.07053E-001	  2.03163E-001	  2.08174E-001	  2.01095E-001	  2.10566E-001	  2.01803E-001	  1.98917E-001	  2.07111E-001	  1.98814E-001	
  3.00000E-003	  1.97395E-001	  2.03348E-001	  1.93853E-001	  1.93723E-001	  2.01776E-001	  1.97517E-001	  1.99610E-001	  2.04268E-001	  1.95631E-001	  2.00929E-001	  1.83297E-001	
  3.20000E-003	  1.84872E-001	  1.86747E-001	  1.81340E-001	  1.86783E-001	  1.85746E-001	  1.81781E-001	  1.85999E-001	  1.85895E-001	  1.81601E-001	  1.89089E-001	  1.83742E-001	
  3.60000E-003	  1.63034E-001	  1.71701E-001	  1.59956E-001	  1.51337E-001	  1.63462E-001	  1.64741E-001	  1.69817E-001	  1.63290E-001	  1.64198E-001	  1.59736E-001	  1.62097E-001	
  4.00000E-003	  1.44770E-001	  1.52097E-001	  1.33137E-001	  1.39662E-001	  1.46735E-001	  1.48709E-001	  1.43156E-001	  1.47735E-001	  1.50941E-001	  1.45229E-001	  1.40303E-001	
  4.40000E-003	  1.28277E-001	  1.32405E-001	  1.23730E-001	  1.26970E-001	  1.33771E-001	  1.26258E-001	  1.24237E-001	  1.29315E-001	  1.24229E-001	  1.31863E-001	  1.29988E-001	
  4.80000E-003	  1.20029E-001	  1.14223E-001	  1.14231E-001	  1.18517E-001	  1.25666E-001	  1.17904E-001	  1.17345E-001	  1.18651E-001	  1.25601E-001	  1.30255E-001	  1.17899E-001	
  5.20000E-003	  1.10431E-001	  1.09571E-001	  1.11380E-001	  1.03178E-001	  1.15278E-001	  1.11672E-001	  1.10523E-001	  1.12357E-001	  1.10075E-001	  1.13591E-001	  1.06689E-001	
  5.60000E-003	  1.04754E-001	  1.03781E-001	  1.11887E-001	  1.00361E-001	  9.82108E-002	  1.08114E-001	  1.06828E-001	  1.08413E-001	  1.02450E-001	  1.02362E-001	  1.05138E-001	
  6.00000E-003	  9.96332E-002	  9.50662E-002	  1.03805E-001	  9.66613E-002	  1.08327E-001	  9.44544E-002	  1.01182E-001	  1.03378E-001	  1.00219E-001	  9.65142E-002	  9.67244E-002	
